"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"1894-80*A","Arnold Arboretum","Sorbus yuana","1894-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou Canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1894-80*B","Arnold Arboretum","Sorbus yuana","1894-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou Canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1894-80*D","Arnold Arboretum","Sorbus yuana","1894-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou Canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1894-80*G","Arnold Arboretum","Sorbus yuana","1894-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou Canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1894-80*K","Arnold Arboretum","Sorbus yuana","1894-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou Canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"12221*A","Arnold Arboretum","Styphnolobium japonicum","12221","Styphnol. japon.","Korea, Republic of","","","","","","",NA,"","","",NA,"","","","",""
"1239-83*A","Arnold Arboretum","Styphnolobium japonicum","1239-83","Styphnol. japon.","Korea, Republic of","Cholla Namdo","Sokjon-ni","Hwasan-myon","Haem-gun","","",NA,"","","",NA,"","","","",""
"1239-83*C","Arnold Arboretum","Styphnolobium japonicum","1239-83","Styphnol. japon.","Korea, Republic of","Cholla Namdo","Sokjon-ni","Hwasan-myon","Haem-gun","","",NA,"","","",NA,"","","","",""
"1323-82*A","Arnold Arboretum","Tilia americana","1323-82","T. americana","United States","Massachusetts","Franklin County","West Whately","","","",NA,"","","",NA,"","","","",""
"19804*A","Arnold Arboretum","Tilia americana","19804","T. americana","United States","Indiana","","","","","",NA,"","","",NA,"","","","",""
"3699*D","Arnold Arboretum","Tilia japonica","3699","T. japonica","Japan","","","","","","",NA,"","","",NA,"","","","",""
"772-53*A","Arnold Arboretum","Tilia japonica","772-53","T. japonica","Japan","Honshu","Province Mutsu","","Mount Hakkoda","","",NA,"","","",NA,"","500","M","",""
"945-63*A","Arnold Arboretum","Tilia japonica","945-63","T. japonica","Japan","Honshu","Province Mutsu","","Mount Hakkoda","","",NA,"","","",NA,"","500","M","",""
