TreeName,Species,YearLastRing,Site,RingCount,ImageName,AnalysisDateTime,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861
16477*F,Picea_engelmannii,2014,Arnold Arboretum,117,Picea_engelmannii_16477F_2014Jul18.tif,7/20/16 11:09,0.262,0.529,0.71,0.361,0.284,0.415,0.689,0.993,1.002,0.887,0.616,0.479,1.312,1.661,1.086,1.997,1.579,1.566,1.324,1.572,1.808,0.961,2.427,1.181,1.985,1.187,0.917,1.704,0.668,1.286,1.522,1.464,2.104,1.97,2.057,2.026,2.166,2.02,1.143,1.468,1.466,1.626,1.619,1.716,1.266,1.461,1.758,2.322,1.923,2.552,2.362,1.673,1.713,1.17,2.08,2.529,2.054,1.402,1.613,1.916,1.792,1.891,1.924,2.603,2.483,3.307,2.112,1.749,1.893,2.021,1.671,2.189,3.384,2.531,3.219,3.937,3.136,2.967,2.173,2.817,2.751,3.945,3.836,3.605,4.301,6.243,4.678,3.792,4.797,7.645,5.965,4.176,4.15,4.365,3.276,2.871,4.107,5.276,4.131,4.012,4.215,4.32,4.742,4.864,6.13,5.377,5.794,5.188,4.104,3.676,2.019,5.208,7.195,4.935,5.456,5.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503-40*B,Picea_koraiensis,2014,Arnold Arboretum,66,Picea_spp_Jul2014001.tif,7/20/16 11:24,1.908,2.463,2.949,2.315,2.52,2.236,1.976,1.865,3.335,2.962,3.604,2.702,3.351,3.037,3.941,2.095,2.028,1.746,1.978,1.907,2.399,2.473,3.523,3.452,3.85,4.805,4.031,3.847,4.903,7.576,5.896,6.19,6.726,4.296,4.434,5.985,5.73,7.305,6.009,5.918,7.926,9.326,6.329,3.047,5.229,4.136,5.981,2.346,1.147,2.135,2.782,3.889,2.976,2.436,4.546,5.013,4.046,4.227,1.536,1.345,2.231,1.778,0.702,0.899,0.115,7.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707*C,Picea_koyamai,2014,Arnold Arboretum,88,Picea_koyamai_7707C_2014Jul15.tif,7/20/16 11:10,1.3,4.064,3.367,2.442,2.758,3.378,3.674,2.672,2.04,3.864,4.948,4.831,4.046,3.377,2.221,2.342,2.83,2.277,3.621,2.32,2.18,2.629,2.643,2.124,2.409,2.452,4.515,2.326,2.67,1.936,1.646,1.328,1.709,1.653,1.793,2.075,2.697,3.445,2.927,3.155,2.781,2.743,1.791,2.085,2.802,3.658,3.069,2.321,2.472,2.101,2.933,2.494,2.624,2.801,2.207,1.991,2.349,1.883,2.189,4.505,4.978,4.051,5.041,4.251,3.414,2.589,3.885,5.4,6.334,5.661,4.013,4.434,5.654,6.594,5.027,3.218,6.299,3.898,3.129,5.712,4.511,4.995,5.144,7.973,4.297,3.7,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707*K,Picea_koyamai,2014,Arnold Arboretum,81,Picea_koyamai7707_2014Jul16.tif,7/20/16 11:17,0.545,0.647,0.574,0.462,0.547,0.467,0.904,1.069,1.392,1.018,0.859,1.289,1.458,1.314,1.871,0.568,0.778,0.707,0.763,0.411,0.758,0.597,0.717,0.628,0.452,0.403,0.663,0.537,0.474,0.475,0.472,0.476,0.413,0.917,0.507,0.478,0.662,1.133,0.857,1.076,0.763,0.598,0.886,0.667,0.571,0.826,0.931,1.174,1.598,1.213,1.613,1.774,2.151,3.418,2.572,2.073,2.394,2.177,2.899,3.874,3.595,2.697,1.662,2.078,2.282,2.083,5.965,8.166,7.995,9.294,4.616,3.743,6.711,1.191,5.901,3.642,7.094,6.11,4.637,6.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707*P,Picea_koyamai,2014,Arnold Arboretum,75,Picea_koyamai_2014Jul07.tif,7/20/16 11:09,0.892,1.523,1.484,1.161,1.827,1.582,0.939,1.358,1.744,1.695,1.449,1.296,1.868,1.075,2.08,0.71,1.303,0.986,1.174,0.972,1.166,1.369,1.776,2.976,3.119,1.307,1.15,1.597,2.803,2.565,2.26,1.164,2.008,2.048,2.007,0.762,0.86,1.583,1.724,4.046,3.378,2.544,4.226,2.236,1.922,1.062,0.71,0.87,1.066,1.107,1.167,1.225,1.623,2.003,2.114,2.023,1.434,3.715,2.413,1.835,1.703,1.364,1.606,2.01,2.224,1.786,5.06,5.573,6.505,4.463,5.517,6.094,8.421,6.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707*R,Picea_koyamai,2014,Arnold Arboretum,62,Picea_koyamai7707_2014Jul16.tif,7/20/16 11:17,1.549,5.479,3.856,5.054,4.515,2.681,4.535,2.11,3.124,3.296,1.941,2.355,2.85,1.371,2.293,1.445,2.252,0.897,2.039,1.133,1.555,1.578,2.231,2.399,1.407,1.142,2.146,1.513,2.48,2.286,2.505,2.15,3.389,1.849,1.396,1.332,2.032,1.663,1.81,1.285,2.237,1.7,2.588,1.934,1.64,1.139,1.423,2.056,1.555,2.432,2.145,1.676,1.081,2.178,0.401,4.132,2.526,2.407,2.281,2.352,5.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707*S,Picea_koyamai,2014,Arnold Arboretum,67,Picea_koyamai_2014Jul07.tif,7/20/16 11:09,1.224,2.115,1.775,1.736,1.989,2.897,2.646,1.882,2.238,2.412,3.348,3.406,3.765,4.26,5.518,2.323,3.125,2.531,3.524,2.952,4.082,3.808,4.099,3.769,3.269,3.252,5.177,3.576,4.61,4.502,5.09,5.95,5.431,3.231,2.259,2.693,3.794,5.616,4.398,5.408,4.118,6.612,5.734,3.326,2.598,2.309,3.034,4.485,3.135,2.54,2.096,2.076,2.812,4.994,4.351,1.574,2.323,1.122,1.407,1.851,1.399,1.299,0.985,1.786,1.616,1.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707F,Picea_koyamai,2014,Arnold Arboretum,23,Picea_koyamai7707(2)2014Jul15.tif,7/20/16 11:16,1.11,3.558,1.637,0.818,1.794,2.201,2.551,2.53,2.111,1.534,3.022,3.01,1.847,1.323,1.989,1.111,1.883,1.477,3.026,1.659,1.939,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707G,Picea_koyamai,2014,Arnold Arboretum,86,Picea_koyamai7707(2)2014Jul15.tif,7/20/16 11:16,0.887,1.825,1.5,2.14,1.334,1.429,2.742,1.663,1.492,2.845,3.896,2.349,2.288,1.998,2.383,0.966,1.047,0.823,0.975,1.206,1.582,1.078,1.394,1.703,1.085,0.771,2.072,1.109,1.671,1.163,0.952,0.857,0.952,1.733,1.268,1.902,1.563,1.494,1.073,2.467,1.837,1.192,0.964,0.966,1.056,1.24,0.839,0.997,1.143,1.401,1.651,1.595,1.956,4.506,3.044,2.304,2.526,1.632,1.993,2.751,3.851,1.993,1.798,2.753,3.107,2.387,6.118,4.597,3.835,5.072,3.981,3.636,6.769,6.003,5.457,3.22,7.055,4.473,2.909,5.755,5.034,5.955,3.86,5.951,6.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707M,Picea_koyamai,2014,Arnold Arboretum,84,Picea_koyamai7707(2)2014Jul15.tif,7/20/16 11:16,0.854,1.265,1.005,0.991,0.918,0.989,1.807,1.371,1.333,1.953,2.547,2.297,1.814,1.169,1.125,0.91,1.258,0.815,1.312,1.475,1.789,1.137,1.863,1.535,1.226,1.281,2.353,1.566,2.445,2.572,1.957,1.523,2.909,3.577,1.734,2.364,1.502,2.335,2.834,3.079,1.693,1.32,1.603,0.931,1.084,0.925,0.953,0.801,1.399,1.211,1.244,2.217,1.773,3.2,2.323,1.15,1.1,1.238,1.223,1.608,1.391,1.258,1.048,1.626,3.764,1.968,2.58,4.773,4.35,5.95,3.575,3.822,7.1,5.416,5.243,3.335,4.478,3.486,2.865,3.697,2.768,2.968,3.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7707-Q,Picea_koyamai,2014,Arnold Arboretum,73,Picea_spp_Jul2014001.tif,7/20/16 11:24,1.119,2.462,2.271,2.807,2.652,4.324,4.335,2.978,5.403,2.913,4.111,3.297,2.404,2.2,2.451,1.223,1.17,1.318,2.146,1.685,1.678,1.911,2.211,2.638,3.02,4.602,4.126,2.325,4.096,3.79,3.683,2.77,5.315,2.795,2.667,5.084,4.116,4.209,3.552,3.839,2.776,3.025,3.421,1.847,1.938,1.61,1.661,2.597,2.375,1.935,2.509,2.194,2.793,3.17,1.984,2.096,2.106,2.775,4.26,6.471,5.628,3.024,2.279,4.466,4.054,4.292,5.228,4.934,5.824,7.914,9.558,8.138,11.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341-78*A,Picea_meyeri,2014,Arnold Arboretum,33,Picea_meyeri_2014Jul23.tif,7/20/16 11:18,2.674,2.225,3.744,4.783,5.044,4.899,5.644,4.66,4.136,5.839,8.353,4.827,4.968,5.235,6.728,5.987,9.826,5.527,7.972,6.124,7.049,5.745,5.941,5.959,6.242,5.676,6.089,4.263,5.145,6.185,4.617,2.979,4.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341-78*B,Picea_meyeri,2014,Arnold Arboretum,31,Picea_meyeri_2014Jul23.tif,7/20/16 11:18,3.988,4.08,4.708,6.731,7.351,4.71,6.053,4.334,2.473,6.304,7.78,8.035,6.776,5.648,8.239,8.687,6.72,6.373,5.731,5.439,6.227,4.188,7.892,5.87,5.018,6.624,5.037,4.465,6.506,7.867,4.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-48*A,Picea_meyeri,2014,Arnold Arboretum,47,Picea_meyeri_2014Jul23.tif,7/20/16 11:18,1.71,5.117,5.926,3.217,6.62,3.585,2.405,4.477,2.627,4.004,6.538,5.427,9.017,7.812,5.363,2.624,1.785,1.833,1.691,2.626,3.869,4.457,7.983,10.629,8.07,6.569,8.245,10.14,8.149,7.662,4.988,5.682,3.452,4.714,5.279,5.291,4.282,5.85,8.055,4.967,7.509,6.769,3.868,5.708,8.277,9.521,12.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228-43*A,Picea_meyeri,2014,Arnold Arboretum,58,Picea_meyeri_2014Jul23.tif,7/20/16 11:18,1.395,2.2,1.615,1.464,1.258,1.642,1.288,1.069,1.235,1.07,1.487,1.647,1.722,1.724,1.653,0.903,1.127,0.974,1.299,1.293,1.458,1.702,1.641,2.549,2.968,4.441,3.284,3.175,4.048,3.497,2.629,3.537,3.68,3.982,3.026,3.688,2.683,3.479,2.843,3.676,3.546,5.614,4.781,2.26,2.797,2.204,4.498,4.504,3.825,2.854,3.477,2.936,3.739,3.853,3.168,4.384,2.101,2.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7709*B,Picea_obovata,2014,Arnold Arboretum,81,Picea_spp_2014Aug.tif,7/20/16 11:23,0.289,0.135,0.162,0.298,0.277,0.268,0.289,0.419,0.662,0.353,0.514,0.345,0.366,0.262,0.603,0.527,0.461,0.687,0.745,0.652,0.654,1.193,1.737,1.344,1.227,1.658,1.42,1.636,2.073,2.342,1.453,1.145,1.128,1.101,1.03,1.575,1.824,2.123,2.404,3.695,4.077,1.424,0.675,0.818,1.088,1.17,2.003,1.376,1.932,1.88,2.119,3.02,2.819,3.539,3.147,3.025,2.291,2.13,3.834,3.442,3.005,3.243,3.752,2.633,3.61,3.012,3.92,3.01,3.403,3.282,3.428,3.887,4.047,4.197,4.041,5.009,4.017,4.883,4.901,4.343,13.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476*I,Picea_pungens,2014,Arnold Arboretum,120,Picea_spp_2014Aug.tif,7/20/16 11:23,0.278,0.197,0.336,0.36,0.197,0.277,0.209,0.982,0.964,1.389,1.063,0.861,1.098,0.937,0.951,0.949,1.118,0.928,1.531,1.168,1.298,1.66,1.534,1.255,1.382,1.298,1.1,0.4,0.839,0.903,0.878,1.444,1.199,1.38,1.823,2.268,1.893,1.58,1.467,1.199,1.085,1.411,1.27,1.411,1.552,1.51,1.411,1.792,2.328,2.568,2.412,2.452,2.826,2.634,2.428,2.86,3.573,4.328,3.584,2.96,4.009,3.322,2.197,1.094,0.997,1.068,1.661,1.354,1.565,1.622,1.735,1.566,1.606,1.751,1.99,1.636,1.637,1.891,1.579,2.014,2.02,2.169,1.9,1.832,1.933,2.032,2.212,2.171,2.328,2.129,2.046,2.103,2.383,2.469,2.581,2.903,3.015,2.651,2.489,5.212,4.313,2.58,4.218,3.723,4.441,4.892,5.845,5.258,4.457,4.946,5.099,5.462,8.019,6.956,6.039,5.954,6.407,5.663,5.678,1.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6695*H,Picea_purpurea,2014,Arnold Arboretum,61,Picea_spp_2014Aug.tif,7/20/16 11:23,0.621,0.618,1.08,1.27,2.566,1.695,1.238,2.66,2.71,1.473,2.737,2.199,2.784,2.303,1.89,2.95,3.383,1.556,1.759,0.904,0.833,0.831,1.447,1.057,1.578,0.563,1.119,1.254,0.896,0.353,0.595,0.957,0.274,0.521,0.719,0.87,0.623,0.8,0.491,0.673,0.892,0.611,0.172,0.199,0.422,0.421,0.849,0.41,0.428,0.649,0.866,0.576,0.221,0.472,0.353,0.328,0.465,0.732,0.678,0.686,67.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511*C,Picea_rubens,2014,Arnold Arboretum,53,Picea_Rubens2014Jul21.tif,7/20/16 11:22,0.28,0.43,0.337,0.285,0.23,0.319,0.489,0.228,0.273,0.165,0.416,0.403,0.635,0.476,0.484,0.541,0.436,0.336,0.259,0.396,0.269,0.468,0.31,0.328,0.489,0.552,0.608,0.957,0.992,1.116,1.57,1.533,2.919,2.731,2.47,3.134,2.532,3.746,4.157,3.274,4.15,2.96,3.274,1.219,2.898,2.693,3.141,3.928,2.071,1.994,2.123,2.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511*D,Picea_rubens,2014,Arnold Arboretum,108,Picea_rubens_14Jul2014.tif,7/20/16 11:22,0.581,1.787,1.159,0.509,0.973,1.242,0.754,1.134,0.774,1.501,2.164,1.559,1.696,1.56,1.168,1.676,1.385,0.908,1.167,0.665,1.487,1.239,2.59,1.609,2.407,0.984,2.467,1.481,2.856,2.678,1.094,0.664,1.716,2.118,1.161,1.975,1.27,2.306,2.154,2.535,2.806,2.447,2.504,1.186,2.37,2.701,1.224,1.186,4.518,3.064,1.76,2.247,2.049,2.298,2.792,2.03,3.38,2.411,2.322,1.923,2.884,4.204,4.231,2.595,1.622,2.339,3.942,2.298,1.997,3.904,5.382,7.261,6.677,3.882,4.38,5.297,4.629,3.235,2.656,7.428,4.784,3.436,3.69,1.875,2.855,3.272,3.787,1.609,2.374,4.157,3.064,3.16,2.956,2.616,3.102,5.191,5.9,6.087,5.211,4.998,6.259,3.671,3.604,2.925,3.118,2.156,3.869,10.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511*E,Picea_rubens,2014,Arnold Arboretum,97,Picea_rubens_14Jul2014.tif,7/20/16 11:22,0.97,0.834,1.079,0.753,0.96,0.86,0.767,0.968,0.786,1.068,1.039,0.774,0.886,0.531,1.135,0.62,0.951,0.709,0.679,0.609,1.029,1.201,1.961,1.956,1.594,1.395,1.49,1.232,1.393,1.133,0.881,1.391,1.375,1.885,1.435,2.089,2.863,3.199,1.97,2.014,1.545,1.076,1.542,1.022,1.312,1.013,1.546,1.474,1.762,1.924,1.728,1.984,2.071,2.291,3.233,3.087,5.265,4.124,3.154,6.115,6.542,5.085,4.241,3.682,3.123,4.74,4.641,7.586,8.418,7.89,6.429,5.601,7.6,7.337,9.581,5.557,8.787,8.762,5.934,8.56,5.946,3.531,2.65,2.242,1.774,4.096,7.447,5.528,4.913,4.601,3.743,3.618,6.827,8.025,8.867,9.09,3.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511*G,Picea_rubens,2014,Arnold Arboretum,108,Picea_Rubens2014Jul21.tif,7/20/16 11:22,0.37,0.768,0.501,0.461,0.659,0.39,0.408,0.474,0.424,0.496,0.517,0.424,0.889,0.605,0.465,0.539,0.509,0.306,0.443,0.479,0.675,0.552,0.232,0.424,0.43,0.355,0.443,0.381,0.358,0.472,0.446,0.495,0.489,0.925,0.588,0.449,0.398,0.378,0.345,0.47,0.576,0.59,0.637,0.802,0.639,1.038,0.828,0.928,1.082,0.675,0.851,1.021,0.963,0.96,1.015,0.92,0.719,0.814,0.697,1.004,0.795,0.622,1.502,1.672,2.053,1.712,1.546,1.911,2.092,1.867,1.626,3.175,2.497,2.238,2.252,1.217,0.772,0.613,0.568,0.719,1.383,1.65,1.724,1.778,1.429,2.144,2.328,2.49,2.262,2.793,1.259,2.319,5.057,2.469,4.111,3.374,3.371,1.679,3.305,2.906,2.92,3.179,2.762,0.658,2.403,1.985,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515C,Picea_wilsonii,2014,Arnold Arboretum,89,Picea_willsonii_2014Jul15.tif,7/20/16 11:25,1.187,1.896,2.696,2.094,2.5,1.74,1.276,1.504,0.98,1.719,2.148,1.799,2.159,2.401,1.692,0.714,0.712,0.546,0.591,0.733,0.582,0.892,1.264,1.66,1.616,1.176,1.184,1.921,2.328,2.821,1.86,1.735,1.468,1.997,2.391,2.317,2.537,3.443,2.438,1.975,1.488,0.964,0.957,1.24,0.706,0.775,0.585,0.349,0.963,1.433,1.939,1.824,1.932,2.48,2.709,2.114,1.716,2.039,2.239,2.093,1.711,2.02,2.102,2.141,2.495,2.63,3.156,5.029,5.035,4.761,4.036,3.438,4.588,5.403,5.066,4.158,6.437,3.173,2.184,2.04,1.367,2.037,2.054,5.869,2.954,2.319,7.905,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16520P,Picea_wilsonii,2014,Arnold Arboretum,81,Picea_willsonii_2014Jul15.tif,7/20/16 11:25,0.968,1.386,1.66,1.593,1.701,1.979,1.612,1.699,1.307,1.914,1.79,1.391,1.424,1.269,1.492,1.374,1.214,0.968,1.262,1.492,1.798,2.139,2.221,2.883,3.171,3.112,2.625,2.972,3.003,2.028,1.857,2.269,2.72,3.049,3.139,4.843,4.786,5.381,4.899,4.439,4.135,3.666,4.931,5.312,2.713,3.181,3.617,5.301,5.042,5.015,4.169,3.648,3.768,5.668,4.745,4.145,3.118,6.231,3.984,3.677,3.024,3.662,2.946,3.484,2.953,2.865,2.342,3.044,2.35,1.773,1.806,4.464,3.583,3.716,3.551,2.022,2.721,3.41,2.59,3.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16521A,Picea_wilsonii,2014,Arnold Arboretum,76,Picea_willsonii_2014Jul15.tif,7/20/16 11:25,0.287,0.399,0.146,0.439,0.228,0.311,0.232,0.259,0.35,0.294,0.397,0.501,0.443,0.447,0.25,0.375,0.168,0.505,0.311,0.375,0.294,0.518,0.635,0.375,0.315,0.525,0.502,0.373,0.599,0.56,0.699,0.719,1.105,1.111,1.559,2.566,3.869,2.577,5.202,2.894,2.815,1.893,1.85,2.535,3.44,3.644,3.304,1.947,2.157,3.132,4.399,4.985,5.617,3.58,5.083,3.467,2.24,3.493,9.048,10.152,5.934,4.397,6.952,3.177,2.469,4.086,5.632,4.325,5.521,2.678,3.675,6.835,5.209,3.541,4.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515*A,Picea_wilsonii,2014,Arnold Arboretum,109,Picea_wilsonii_16515-A_2014Jul15.tif,7/20/16 11:27,1.005,2.628,3.318,1.214,1.47,2.497,1.279,2.042,1.744,2.845,3.446,2.783,1.596,1.096,0.674,1.439,0.601,1.514,0.994,1.137,1.079,1.309,1.693,2.519,2.819,1.303,2.262,1.855,2.017,1.483,1.097,1.61,1.127,1.99,1.286,1.777,3.086,2.697,2.394,5.235,5.294,5.486,2.779,2.746,2.346,1.698,1.641,1.449,1.585,2.387,2.734,2.79,5.095,6.085,5.329,4.332,2.374,3.151,3.664,6.377,5.247,3.2,4.678,5.884,2.448,2.874,5.216,6.685,5.104,6.425,4.493,4.668,4.646,6.038,4.985,3.409,7.436,3.025,1.467,1.774,1.35,1.716,1.533,4.206,2.23,3.147,1.864,2.39,2.175,2.87,5.275,3.723,4.359,4.303,4.476,3.279,2.942,6.568,3.127,2.033,2.335,1.971,2.309,2.341,4.61,2.385,3.246,2.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515*I,Picea_wilsonii,2014,Arnold Arboretum,91,Picea_Wilsonii2014Jul17.tif,7/20/16 11:29,2.277,2.966,3.572,3.561,5.267,6.554,4.517,3.661,3.958,3.213,3.367,2.222,3.599,3.738,2.483,0.868,0.965,1.141,1.631,1.852,1.675,1.531,2.206,2.155,2.501,1.584,1.097,1.225,2.352,2.379,1.485,1.693,1.904,1.626,1.378,1.53,2.131,2.71,1.95,1.73,1.37,1.932,1.57,1.533,1.171,1.489,1.537,2.314,1.087,1.075,0.883,1.311,1.483,1.564,1.177,1.246,1.455,1.273,1.056,2.562,3.035,1.493,1.832,3.011,1.715,1.618,1.947,2.291,1.25,1.539,1.207,1.681,1.118,1.036,0.904,1.256,1.518,1.279,1.193,1.356,3.455,2.039,2.109,4.048,1.356,1.352,1.942,0.763,0.675,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515*K,Picea_wilsonii,2014,Arnold Arboretum,69,Picea_Wilsonii2014Jul17.tif,7/20/16 11:29,1.193,3.047,1.684,1.612,2.36,1.709,1.12,2.186,1.794,2.347,2.74,2.114,3.621,4.926,2.845,2.429,2.812,2.948,1.106,2.555,2.066,3.211,3.744,5.748,8.202,6.327,2.846,2.511,3.831,4.576,2.454,2.575,2.344,3.542,2.226,1.956,4.108,3.915,3.728,3.591,3.644,2.944,4.101,3.299,3.318,2.099,2.345,3.834,2.002,1.996,6.746,3.798,4.556,4.521,3.56,4.805,4.082,3.6,6.849,6.562,7.275,6.343,6.563,4.279,2.922,2.902,9.822,9.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515*M,Picea_wilsonii,2014,Arnold Arboretum,74,Picea_Wilsonii2014Jul17.tif,7/20/16 11:29,1.107,1.703,2.154,2.748,4.428,3.111,1.272,1.219,0.95,1.493,2.518,1.248,2.796,2.536,1.396,1.318,1.464,0.796,1.195,1.493,1.348,1.265,0.982,1.316,1.312,1.015,1.114,1.482,2.273,2.188,1.424,1.592,2.974,2.138,2.712,2.992,2.389,2.991,2.73,3.586,4.163,4.629,4.789,3.41,1.53,2.454,2.888,1.665,1.167,2.157,1.938,2.961,3.708,4.393,4.661,3.531,3.195,3.793,2.309,3.192,2.334,2.556,2.608,2.518,2.24,1.987,2.322,3.38,3.72,2.988,2.539,7.108,5.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16515*N,Picea_wilsonii,2014,Arnold Arboretum,60,Picea_wilsonii_21Jul2014.tif,7/20/16 11:26,1.376,2.289,4.301,4.086,4.434,5.805,2.934,2.473,1.893,2.577,4.139,3.991,4.8,4.889,2.353,2.068,2.179,1.473,2.235,2.673,2.403,3.125,3.763,3.89,3.166,2.558,3.988,4.041,4.696,3.349,2.401,1.743,1.983,1.701,1.916,1.704,1.758,2.371,2.126,3.224,4.348,7.618,4.498,2.149,1.543,1.483,2.119,1.939,1.451,1.436,3.56,3.499,3.83,3.605,3.875,4.647,6.821,3.29,4.14,59.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
