Loop,Ord,ACC_NUM,Species,Loc,BBNE_no01,BBNE_no02,BBNE_no03,BBNE_no04,BBNE_no05,BBNE_no06,BBNE_no07,BBNE_no08,BBNE_no09,BBNE_no10,BBNE_no11,Date01,Date02,Date03,Date04,Date05,Date06,Date07,Date08,Date09,Date10,Date11,FullExpLvs_no01,FullExpLvs_no02,FullExpLvs_no03,FullExpLvs_no04,FullExpLvs_no05,FullExpLvs_no06,FullExpLvs_no07,FullExpLvs_no08,FullExpLvs_no09,FullExpLvs_no10,FullExpLvs_no11,ILS_perc01,ILS_perc02,ILS_perc03,ILS_perc04,ILS_perc05,ILS_perc06,ILS_perc07,ILS_perc08,ILS_perc09,ILS_perc10,ILS_perc11,L_YN_01,L_YN_02,L_YN_03,L_YN_04,L_YN_05,L_YN_06,L_YN_07,L_YN_08,L_YN_09,L_YN_10,L_YN_11
,105,1264-80*B,Quercus_glandulifera,31-NW,<3,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,106,970-79*B,Carpinuscaroliniana,31-SE,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,1001-10000,>10000,>10000,,<25,<25,<25,<25,<25,50-74,,75-95,>95,>95,,<5,<5,<5,<5,<5,75-95,,>95,>95,>95,
,107,14585*D,Fagus_grandifolia,37-NW,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,>95,>95,,>95,>95,>95,>95
,108,14585*B,Fagus_grandifolia,37-NW,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,75-95,>95,,>95,>95,>95,>95
,109,14585*C,Fagus_grandifolia,37-NW,<3,<3,<3,11-100,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,110,14585*G,Fagus_grandifolia,37-NE,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,111,14585*J,Fagus_grandifolia,37-NE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,25-49,>95,,>95,>95,>95,>95
,112,6782*B,Fagus_grandifolia,37-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,25-49,>95,,>95,>95,>95,>95
,113,383-27*B,Fagus_engleriana,38-NW,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,25-49,>95,,>95,>95,>95,>95
,114,383-27*A,Fagus_engleriana,38-NW,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,115,7416*A,Fagus_engleriana,37-NE,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,116,14585*W,Fagus_grandifolia,37-NE,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,>95,<5,<5,<5,<5,>95,>95,,>95,>95,>95,>95
,117,14585*V,Fagus_grandifolia,37-NE,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,50-74,>95,,>95,>95,>95,>95
,118,14585*T,Fagus_grandifolia,37-NE,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,75-95,>95,,>95,>95,>95,>95
,119,4697*M,Cedrus_libani,32-SE,<3,<3,<3,<3,<3,<3,,11-100,1001-10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,<5,1001-10000,>10000,>10000
,120,220-60*D,Cedrus_libani,EG-15,<3,<3,<3,<3,<3,<3,,1001-10000,1001-10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,1001-10000,1001-10000,>10000,>10000
,121,4697*K,Cedrus_libani,EG-33-NW,<3,<3,<3,<3,<3,<3,,1001-10000,1001-10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,1001-10000,1001-10000,>10000,>10000
,122,4697*G,Cedrus_libani,EG-33-NW,<3,<3,<3,<3,<3,101-1000,,1001-10000,1001-10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,1001-10000,1001-10000,>10000,>10000
,123,4697*O,Cedrus_libani,38-NW,<3,<3,<3,<3,<3,<3,,,1001-10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,,1001-10000,>10000,>10000
,124,7272*C,Pyrus_pyrifolia,EG-32-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,125,1239-83*A,Styphnolobium_japonicum,EG-32-NE,<3,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,126,1549-81*B,Thuja_plicata,33-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,127,4697*I,Cedrus_libani,EG-33-NW,<3,<3,<3,<3,<3,<3,,1001-10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,1001-10000,>10000,>10000,>10000
,128,1590-52*B,Quercus_dentata,33-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,129,16824*C,Quercus_glandulifera,33-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,130,16795*A,Quercus_aliena,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,3-10,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,131,3672*A,Quercus_glandulifera,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,132,3672*B,Quercus_glandulifera,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,>95,<5,<5,<5,<5,25-49,>95,,>95,>95,>95,>95
,133,3672*C,Quercus_glandulifera,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,>95,,>95,>95,>95,>95
,134,17631*B,Quercus_variabilis,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,135,1590-52*C,Quercus_dentata,33-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,136,16815*A,Quercus_dentata,33-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,137,16816*A,Quercus_dentata,33-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,138,3671*A,Quercus_variabilis,33-SW,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,139,17631*A,Quercus_variabilis,33-SW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,140,7707*R,Picea_koyamai,33-NE,<3,<3,<3,<3,<3,<3,,1001-10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,101-1000,>10000,>10000,>10000
,141,1539-80*A,Sorbus_yuana,27-SE,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,>95,<5,<5,<5,50-74,>95,>95,,>95,>95,>95,>95
,142,6998*F,Picea_asperata,27-SE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,1001-10000,,>10000,>10000,>10000,>10000
,143,1732-77*B,Pinus_parviflora,27-SE,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,<5,1001-10000,>10000,>10000
,144,1732-77*A,Pinus_parviflora,27-SE,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,<5,1001-10000,>10000,>10000
,145,11728*C,Pyrus_ussuriensis,28-SW,<3,<3,<3,1001-10000,>10000,>10000,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,,<3,<3,>10000,,>10000,>10000,>10000,>10000,<25,<25,,<25,25-49,>95,,>95,>95,>95,>95,<5,<5,<5,<5,>95,>95,,>95,>95,>95,>95
,146,16520*P,Picea_wilsonii,27-SE,<3,<3,<3,<3,<3,101-1000,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,3-10,,>10000,>10000,>10000,>10000
,147,7707*M,Picea_koyamai,27-SE,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,101-1000,>10000,>10000,>10000
,148,7707*S,Picea_koyamai,33-NE,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,101-1000,>10000,>10000,>10000
,149,16515*I,Picea_wilsonii,33-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,150,16520*I,Picea_wilsonii,33-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,151,6992*G,Picea_asperata,33-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,11-100,,>10000,>10000,>10000,>10000
,152,6995*H,Picea_purpurea,38-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,153,16515*M,Picea_wilsonii,38-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,154,16515*N,Picea_wilsonii,38-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,155,16520*K,Picea_wilsonii,33-NE,<3,<3,<3,<3,<3,,,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,,,,>10000,>10000,>10000
,156,16515*K,Picea_wilsonii,33-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,157,7707*Q,Picea_koyamai,33-NE,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,<5,,>10000,>10000,>10000,>10000
,158,1726-81*B,Platanus_occidentalis,38-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,11-100,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,50-74,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,159,524-48*D,Metasequoia_glyptostroboides,43-NW,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,>10000,,>10000,>10000,>10000,>10000
,160,524-48*A,Metasequoia_glyptostroboides,42-NW,<3,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,101-1000,>10000,,>10000,>10000,>10000,>10000
,217,1097*C,Larix_kaempferi,39-SE,<3,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,>10000,>10000,,>10000,>10000,>10000,>10000
,218,14939*B,Larix_kaempferi,39-SE,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,101-1000,>10000,>10000,,>10000,>10000,>10000,>10000
,219,10645*A,Abies_koreana,39-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,<5,<5,101-1000,,>10000,>10000,>10000,>10000
,220,1171-67*A,Larix_decidua,39-NE,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,101-1000,>10000,>10000,,>10000,>10000,>10000,>10000
,221,1171-67*B,Larix_decidua,39-NE,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/28/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,,,,,,,,,,,,,,,<5,<5,<5,>10000,>10000,>10000,,>10000,>10000,>10000,>10000
