"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"222",222,"17404*A","Taxus_cuspidata","2015-05-12","2015-05-12",131,131
"223",223,"292-80*A","Calocedrus_decurrens","2015-06-15","2015-06-15",165,165
"224",224,"17515*A","Thuja_plicata","2015-06-03","2015-06-03",153,153
"225",225,"17515*B","Thuja_plicata","2015-06-03","2015-06-03",153,153
"226",226,"16573*L","Pinus_resinosa","2015-05-25","2015-06-03",144,153
"227",227,"16573*M","Pinus_resinosa","2015-05-25","2015-06-03",144,153
"228",228,"16573*N","Pinus_resinosa","2015-05-25","2015-06-03",144,153
"229",229,"16573*Q","Pinus_resinosa","2015-05-25","2015-06-03",144,153
"230",230,"1724-77*A","Pinus_densiflora","2015-06-03","2015-06-15",153,165
"231",231,"1724-77*B","Pinus_densiflora","2015-06-03","2015-06-15",153,165
"232",232,"1724-77*C","Pinus_densiflora","2015-06-03","2015-06-15",153,165
"233",233,"17404*C","Taxus_cuspidata","2015-05-12","2015-05-25",131,144
"234",234,"17404*D","Taxus_cuspidata","2015-05-12","2015-05-25",131,144
"235",235,"1476*B","Picea_pungens","2015-05-25","2015-05-25",144,144
"236",236,"1476*E","Picea_pungens","2015-05-25","2015-05-25",144,144
"237",237,"1476*H","Picea_pungens","2015-05-25","2015-05-25",144,144
"238",238,"1476*I","Picea_pungens","2015-05-25","2015-05-25",144,144
"239",239,"16477*E","Picea_engelmannii","2015-05-12","2015-05-25",131,144
"240",240,"16477*F","Picea_engelmannii","2015-05-25","2015-05-25",144,144
"241",241,"15877*C","Picea_engelmannii","2015-06-03","2015-06-03",153,153
"242",242,"827-27*A","Abies_xborisii_regis","2015-05-12","2015-05-25",131,144
"243",243,"827-27*B","Abies_xborisii_regis","2015-05-12","2015-05-12",131,131
"244",244,"16511*D","Picea_rubens","2015-05-25","2015-05-25",144,144
"245",245,"16511*E","Picea_rubens","2015-05-25","2015-05-25",144,144
"246",246,"16520*C","Picea_wilsonii","2015-05-12","2015-05-12",131,131
"247",247,"1664-81*B","Abies_nordmanniana","2015-05-12","2015-05-12",131,131
"248",248,"7599*A","Picea_wilsonii","2015-05-12","2015-05-12",131,131
