Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
PINNIG,1038-65*A,2547,2.547,7/28/15,Silvia,2930,1880,1050,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIG,4802*E,2749,2.749,7/28/15,Silvia,3060,1830,1230,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIGPAL,686-67*A,4017,4.017,7/22/15,Silvia,2960,1370,1590,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIGPAL,565-66*A,4032,4.032,7/22/15,Silvia,2990,1410,1580,11/21/15,Risa,second envelope w same label: 2920-1370=1550 11/21 Risa,,,,,,,,,,,,,,,,,,
PINPAR,1732-77*A,4584,4.584,7/28/15,Silvia,3390,1820,1570,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPAR,1732-77*D,4521,4.521,7/28/15,Silvia,3700,1830,1870,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPAR,1732-77*B,3448,3.448,7/28/15,Silvia,4010,1820,2190,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPON,205-80*A,5133,5.133,7/30/15,Silvia,3200,1440,1760,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPON,1311-79*B,3312,3.312,7/30/15,Silvia,2970,1420,1550,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPON,1311-79*F,5545,5.545,7/30/15,Silvia,3490,1380,2110,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINPON,205-80*B,4309,4.309,7/30/15,Silvia,3110,1380,1730,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINRES,16573*L,2720,2.72,7/22/15,Silvia,2570,1390,1180,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINRES,16573*M,3353,3.353,9/18/15,Sally,3500,1850,1650,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINSYLLAP,16589*A,3640,3.64,7/22/15,Silvia,3290,1370,1920,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINSYLLAP,16589*H,3920,3.92,7/22/15,Silvia,3260,1400,1860,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINSYLLAP,165-89*B,3717,3.717,7/30/15,Silvia,2890,1370,1520,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,16576*R,1751,1.751,7/22/15,Silvia,2070,1370,700,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,16576*I,2960,2.96,7/22/15,Silvia,2610,1400,1210,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,16576*J,3802,3.802,7/22/15,Silvia,2380,1380,1000,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,16576*H,4656,4.656,7/22/15,Silvia,3930,1400,2530,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,16576*N,3003,3.003,7/22/15,Silvia,2970,1380,1590,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINTAB,11372*H,2375,2.375,7/28/15,Silvia,2930,1800,1130,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
