accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
448-68*A,Cedrus,libani,,1,3-NW,Y,63.47,64.41,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
4697*G,Cedrus,libani,,1,EG-33-NW,Y,54.04,52.07,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
4697*I,Cedrus,libani,,1,EG-33-NW,Y,58.47,56.54,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
4697*K,Cedrus,libani,,1,EG-33-NW,Y,66.66,79.05,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",*top not visible
4697*M,Cedrus,libani,,1,32-SE,Y,64.1,,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",*top not visible
4697*O,Cedrus,libani,,1,38-NW,Y,66.04,,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",*top not visible
4697*P,Cedrus,libani,,1,2-SE,Y,76.36,68.63,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",may be short
13047*A,Chamaecyparis,thyoides,,2,39-NE,Y,40.81,41.57,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
13047*C,Chamaecyparis,thyoides,,2,39-NE,Y,40.85,38.26,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
1171-67*A,Larix,decidua,decidua,1,39-NE,Y,59.24,61.93,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
1171-67*B,Larix,decidua,decidua,1,39-NE,Y,42.51,49.17,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
1296-83*A,Larix,decidua,decidua,1,51-SE,Y,57.35,50.06,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
14937*A,Larix,decidua,decidua,1,44-SE,Y,59.51,58.16,7/6/15,"Sally, Silvia, Ailene",7/7/15,"Silvia, Ailene",
14936*B,Larix,gmelinii,principis-rupprechtii,1,62-NW,Y,44.1,41.94,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
14936*C,Larix,gmelinii,principis-rupprechtii,1,62-NW,Y,47.09,48.48,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
18503*A,Larix,gmelinii,principis-rupprechtii,1,62-NE,Y,44.67,,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",crown obscured; height unclear
18503*G,Larix,gmelinii,principis-rupprechtii,1,62-NE,Y,40.73,,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",crown obscured; height unclear
21784*B,Larix,gmelinii,principis-rupprechtii,1,62-NE,Y,44.05,50.7,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
21784*K,Larix,gmelinii,principis-rupprechtii,1,58-SE,Y,34.46,38.54,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
1097*C,Larix,kaempferi,,2,39-SE,Y,55.61,,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",crown obscured; height unclear
14939*B,Larix,kaempferi,,2,39-SE,Y,67.45,,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",crown obscured; height unclear
152-79*A,Larix,kaempferi,,2,39-NE,Y,45.31,53.52,7/7/15,"Silvia, Ailene",7/7/15,"Silvia, Ailene",
3-48*A,Metasequoia,glyptostroboides,,1,35-NE,Y,97.87,89.44,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
524-48*A,Metasequoia,glyptostroboides,,1,42-NW,N,,,9/14/15,"Sally,John",9/14/15,"Sally,John",too high
524-48*D,Metasequoia,glyptostroboides,,1,43-NW,N,,,9/14/15,"Sally,John",9/14/15,"Sally,John",too high
524-48*DD,Metasequoia,glyptostroboides,,1,3-SE,Y,97.34,98.66,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
524-48*L,Metasequoia,glyptostroboides,,1,39-NE,Y,81.49,75.92,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
814-62*A,Metasequoia,glyptostroboides,,1,3-NE,Y,94.77,,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
814-62*D,Metasequoia,glyptostroboides,,1,3-NE,Y,,,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",couldn't see top for height
815-62*B,Metasequoia,glyptostroboides,,1,3-NE,Y,85.72,90.06,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
815-62*C,Metasequoia,glyptostroboides,,1,3-NE,Y,97.54,,7/14/15,"Silvia, Ailene",7/14/15,"Silvia, Ailene",
21774*A,Picea,asperata,,1,49-SE,Y,39.18,41.09,7/13/15,"Silvia, Ailene",7/13/15,"Silvia, Ailene",
6284*G,Picea,asperata,,1,2-NE,N,50.34,,,,,,too high
