"","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped"
"127","383-27*A","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-09-19","0"
"128","383-27*B","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-09-19","0"
"129","1726-81*B","Platanus occidentalis","0014-09-19","0014-10-21","0014-09-19","0014-10-29","100"
"130","524-48*D","Met. glyptostroboides","0014-10-21","0014-11-11","0014-10-21","0014-10-29","24"
"131","524-48*A","Met. glyptostroboides","0014-11-06","0014-11-11","0014-11-06","0014-11-06","24"
"132","1171-67*A","Larix decidua","0014-10-29","0014-11-11","0014-10-29","0014-11-11","74"
"133","1171-67*B","Larix decidua","0014-10-07","0014-11-06","0014-10-21","0014-11-11","24"
"134","152-79*A","Larix kaempferi","0014-10-07","0014-11-11","0014-10-29","0014-11-11","24"
"135","14948*A","Larix sibirica","0014-10-21","0014-11-06","0014-10-21","0014-11-06","74"
"136","445-60*A","Larix sibirica","0014-09-23","0014-11-06","0014-10-21","0014-11-11","74"
